Cruise,year,month,day,D/N,tow,net,ID,Station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473,2011,8,21,D,3,6,3.06,1,35.1037,-51.9822,224.405139,943.4,97,450.9,52.6,100.8,18.3865431,36.54266379,100,50,104,18.55809804,36.58972549,0.424578431,0.424578431,215.0972157,1E-12,2092.9,2402.1,2.0,8.0,0.0,2.0,0.2
OC473,2011,8,21,D,3,7,3.07,1,35.1056,-51.9766,224.410532,951.166,60,296.2,25.9,52.5,21.35560256,36.47855128,50,25,104,21.3274,36.54263846,0.119365385,0.119365385,229.4946154,1E-12,2057.9,2399.7,1.4,8.1,0.0,0.3,0.1
OC473,2011,8,21,D,3,8,3.08,1,35.1068,-51.9729,224.414155,956.383,42,271.1,0.2,26.1,25.81668421,36.34985526,25,0,104,25.67191364,36.32327727,0.055440909,0.055440909,199.0667727,1E-12,2042.1,2377.4,1.1,8.1,0.0,0.0,0.2
OC473,2011,8,21,D,3,9,3.09,1,35.1081,-51.9697,224.417685,1001.466,4,36.2,0.3,1,26.3808,36.362,0,0,104,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2035.4,2373.4,1.2,8.1,0.0,0.0,0.0
OC473,2011,8,13,D,4,0,4,5,36.9855,-51.9741,225.442245,1036.833,146,1201.3,4,1015.3,15.17451816,35.94339467,1000,0,509,15.45091725,36.06728074,0.046773721,0.046773721,188.4621194,9.577976157,2110.179108,2366.623788,4.143194758,7.939050166,0.243291927,5.980207554,0.369495345
OC473,2011,8,13,D,4,1,4.01,5,36.9613,-51.9579,225.480613,1132.083,110,567.6,801.2,998.6,10.15026144,35.28157516,1000,800,509,9.737544776,35.28391891,0.017118408,0.017118408,152.1320149,1E-12,2173.169749,2303.114686,13.97879891,7.695672681,1.115704646,21.29804562,0.09913923
OC473,2011,8,13,D,4,2,4.02,5,36.9563,-51.9546,225.487731,1142.333,185,913.6,601.7,800.6,13.82264831,35.76339407,800,600,509,13.47707562,35.7480408,0.013963682,0.013963682,185.0611343,1E-12,2132.234884,2331.197898,5.589485498,7.86510464,0.421520985,10.31779368,0.070742566
OC473,2011,8,13,D,4,3,4.03,5,36.9486,-51.949,225.498692,1158.116,237,1186.2,401.1,601,16.3818241,36.22380456,600,400,509,16.38957065,36.26571841,0.004195522,0.004195522,193.9279104,1E-12,2111.143966,2351.90374,3.450039024,7.934468951,0.161631388,6.094405909,0.183664972
OC473,2011,8,13,D,4,4,4.04,5,36.9394,-51.9418,225.512951,1218.649,222,1048.1,201.1,400.7,17.75856554,36.50236704,400,200,509,17.76225174,36.54060398,0.001612935,0.001612935,205.375597,0.000340937,2102.225357,2379.993933,2.236930981,8.001344728,0.04761538,2.921845989,0.113586656
OC473,2011,8,13,D,4,5,4.05,5,36.9306,-51.9349,225.525359,1236.517,111,527.2,100.5,200.4,18.25232331,36.54793985,200,100,509,18.20606634,36.58585743,0.08540099,0.08540099,201.0717525,0.427315842,2107.125683,2399.04428,2.345118918,7.985679727,0.106983761,3.088209477,0.363728565
OC473,2011,8,13,D,4,6,4.06,5,36.9261,-51.9312,225.531539,1245.416,102,522.6,52.4,100.5,19.46938519,36.52428889,100,50,509,19.41226275,36.57611765,0.519154902,0.519154902,215.1892353,16.28647059,2100.138238,2396.465104,1.719466613,7.954700786,0,1.097667959,0.952229368
OC473,2011,8,13,D,4,7,4.07,5,36.9215,-51.9272,225.537813,1254.451,54,283.4,26.2,51.9,23.3200411,36.36654795,50,25,509,23.17237308,36.36623077,0.139680769,0.139680769,215.3035385,114.2115385,2054.433686,2386.942236,1.079864612,8.06835817,0,0,0.852260929
OC473,2011,8,13,D,4,8,4.08,5,36.9189,-51.9248,225.541204,1259.334,53,277,1,26.4,25.79523288,36.37284932,25,0,509,25.89752727,36.15044091,0.057427273,0.057427273,198.1438636,270.0454545,2045.029667,2378.479388,1.268414556,8.077873819,0,0,0.650324683
OC473,2011,8,13,D,4,9,4.09,5,36.9163,-51.9225,225.544595,1304.217,4,26.4,0.4,1.1,26.1235,36.378625,0,0,509,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2045.029667,2378.479388,1.268414556,8.077873819,0,0,0.650324683
OC473,2011,8,13,N,5,0,5,5,36.9619,-52.0088,225.925694,2212.999,325,2343.3,2.7,1012.8,16.34774378,36.04695332,1000,0,509,15.45091725,36.06728074,0.046773721,0.046773721,188.4621194,9.577976157,2110.179108,2366.623788,4.143194758,7.939050166,0.243291927,5.980207554,0.369495345
OC473,2011,8,13,N,5,1,5.01,5,36.9286,-52.009,225.970486,2317.5,179,1028.7,799.4,999.7,9.917639576,35.26050883,1000,800,509,9.737544776,35.28391891,0.017118408,0.017118408,152.1320149,1E-12,2173.169749,2303.114686,13.97879891,7.695672681,1.115704646,21.29804562,0.09913923
OC473,2011,8,13,N,5,2,5.02,5,36.9192,-52.0084,225.983634,2336.433,196,1056.7,600.6,799.1,13.66423741,35.73970504,800,600,509,13.47707562,35.7480408,0.013963682,0.013963682,185.0611343,1E-12,2132.234884,2331.197898,5.589485498,7.86510464,0.421520985,10.31779368,0.070742566
OC473,2011,8,13,N,5,3,5.03,5,36.91,-52.0083,225.996551,2355.033,198,1029.1,399.3,599.9,16.53848134,36.25732836,600,400,509,16.38957065,36.26571841,0.004195522,0.004195522,193.9279104,1E-12,2111.143966,2351.90374,3.450039024,7.934468951,0.161631388,6.094405909,0.183664972
OC473,2011,8,13,N,5,4,5.04,5,36.9011,-52.0074,226.009028,13,207,1090.9,199.6,398.4,17.7112007,36.49433099,400,200,509,17.76225174,36.54060398,0.001612935,0.001612935,205.375597,0.000340937,2102.225357,2379.993933,2.236930981,8.001344728,0.04761538,2.921845989,0.113586656
